[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][39/1874] Scanning asset: [1351881090.KOR_10Lane_Road_Pillar_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][40/1874] Scanning asset: [1366497445.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][41/1874] Scanning asset: [1368456275.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][42/1874] Scanning asset: [1384881003.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][43/1874] Scanning asset: [1384881003.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][44/1874] Scanning asset: [1384881703.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][45/1874] Scanning asset: [1384881703.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][46/1874] Scanning asset: [1384882046.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][47/1874] Scanning asset: [1384882046.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][48/1874] Scanning asset: [1395455108.1+1-2+1-3OW-4OW Pylon_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][49/1874] Scanning asset: [1396913345.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][50/1874] Scanning asset: [1400950123.Two Lane Highway Bridge Pillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][51/1874] Scanning asset: [1400950123.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][52/1874] Scanning asset: [1406160277.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][53/1874] Scanning asset: [1406160277.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][54/1874] Scanning asset: [1543337462.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][55/1874] Scanning asset: [1543337462.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][56/1874] Scanning asset: [1545691539.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
